participant_id,charity_id,cluster_id,personalization_type,counterfactual_code,content_source,post_id,post_text,rating,donation_amount,persuasiveness_1,persuasiveness_2,persuasiveness_3,familiar,age,gender,ideology,religiosity
6643bcf4ed868a9901a9dd7d,"Pancreatic Cancer Action Network",YFLN,generic,OMRR,LLM,593,"Every life touched by pancreatic cancer deserves hope and support. Your donation helps fund critical research and provide vital patient resources through @PanCAN. Together, we can create a world without pancreatic cancer. Donate now: [link] #EndPancreaticCancer",Neutral,0,1,1,1,0,26,Female,1,2
6643bcf4ed868a9901a9dd7d,"The Lustgarten Foundation for Pancreatic Cancer Research",YFLN,personalized,OMRR,LLM,472,"Pancreatic cancer research is critically underfunded—let's change that. Together, we can empower science, honor loved ones, and fight for brighter futures. Donate to @LFPancreaticCan today💜: [link] #CancerResearch #HopeInAction #MakeADifference",Neutral,0,1,1,1,0,26,Female,1,2
6643bcf4ed868a9901a9dd7d,"Cancer Research Institute",YFLN,counterfactual,OMRR,Human,115,"Let's face this disease together Nationwide and help our fellow Americans so that they win the battle!",Neutral,0,1,1,1,0,26,Female,1,2
6643bcf4ed868a9901a9dd7d,"National Pediatric Cancer Foundation",YFLN,personalized,OMRR,Human,8,"Injustice, oppression, and no one in charge cares. We try to fight the forgetting of young cancer victims. Try to find treatment for the people that need it most. The time to act is now but we need every support we can gather. Donate with us to fight oppression and save lifes!",Neutral,0,1,1,1,0,26,Female,1,2
6643bcf4ed868a9901a9dd7d,"Dana-Farber Cancer Institute",YFLN,counterfactual,OMRR,LLM,533,"Faith, family, freedom—values worth protecting. Join Dana-Farber Cancer Institute in the fight against cancer and give hope to countless lives. Your donation makes a difference. Donate now and stand strong against cancer: [link] #FaithInAction",Neutral,0,1,1,1,0,26,Female,1,2
6643bcf4ed868a9901a9dd7d,"The Leukemia & Lymphoma Society",YFLN,generic,OMRR,Human,300,"One day, you or someone you love might need a life-saving donor, whom you have never met. Would you like to become someone's hope today?  ",Neutral,0,1,1,1,0,26,Female,1,2
67cedb4571e80b2c4b1847e0,"Dana-Farber Cancer Institute",YMLN,generic,OFRR,LLM,592,"Cancer impacts us all—families, friends, neighbors. Dana-Farber Cancer Institute brings hope through groundbreaking research & compassionate care. Your support helps save lives. Join us in making a difference—donate today! 🎗️❤️ #DanaFarber #HopeForCancer

Donate now: [link]",Like,0.01,6,7,7,0,33,Male,1,2
67cedb4571e80b2c4b1847e0,"Cancer Research Institute",YMLN,counterfactual,OFRR,Human,62,"Rose spent her life raising a beautiful family. However, Rose has cancer now ans she's afraid she can't see her nephews smiling anymore. You can help Rose and those like Rose with a donation. May God bless you for your help!",Like,0.02,7,7,7,1,33,Male,1,2
67cedb4571e80b2c4b1847e0,"The Lustgarten Foundation for Pancreatic Cancer Research",YMLN,counterfactual,OFRR,LLM,586,"Every life is precious, and pancreatic cancer affects too many families we hold dear. Join @LustgartenFDN in championing hope, faith, and lifesaving research. Together, we can honor those we love. Donate now & make a difference: [link] #HopePrevails",Like,0.01,7,7,7,1,33,Male,1,2
67cedb4571e80b2c4b1847e0,"Pancreatic Cancer Action Network",YMLN,personalized,OFRR,Human,96,"Statisticians and Doctors have warned us for years about the increasing threat of pancreatic cancer around the world! This isn't a disease of the old anymore but might even distroy the dream of having children. Help people in need by supporting us.",Like,0.02,7,7,7,1,33,Male,1,2
